person_age,person_income,person_emp_exp,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,person_gender_female,person_gender_male,person_education_Associate,person_education_Bachelor,person_education_Doctorate,person_education_High School,person_education_Master,person_home_ownership_MORTGAGE,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,previous_loan_defaults_on_file_Yes
22.0,130852.0,0,28000.0,11.01,0.21,4.0,683,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
24.0,83853.0,3,27600.0,11.01,0.33,2.0,690,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
21.0,15394.0,0,3250.0,15.68,0.21,3.0,518,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
22.0,85243.0,0,27500.0,13.06,0.32,3.0,583,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
26.0,89074.0,4,27050.0,15.62,0.3,2.0,668,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
24.0,100509.0,2,27000.0,13.49,0.27,2.0,673,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
24.0,88950.0,3,27000.0,11.01,0.3,3.0,706,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
23.0,75894.0,1,26000.0,11.71,0.34,2.0,536,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
23.0,145092.0,0,25600.0,12.69,0.18,3.0,557,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
22.0,73131.0,3,25475.0,10.99,0.35,3.0,681,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
25.0,266090.0,4,11900.0,14.42,0.04,3.0,669,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
23.0,100756.0,0,25300.0,10.99,0.25,3.0,689,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
22.0,16218.0,1,2000.0,5.42,0.12,4.0,614,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
25.0,16211.0,2,1750.0,13.61,0.11,3.0,597,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
21.0,51922.0,3,25000.0,12.73,0.48,3.0,673,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
24.0,50309.0,3,25000.0,11.01,0.5,3.0,625,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
25.0,16378.0,0,3000.0,12.87,0.18,4.0,603,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
24.0,16572.0,0,3650.0,9.91,0.22,3.0,589,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
26.0,256862.0,2,35000.0,10.65,0.14,2.0,643,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
23.0,16599.0,0,2400.0,13.49,0.14,2.0,505,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
22.0,51608.0,0,25000.0,14.59,0.48,2.0,593,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
26.0,58516.0,6,25000.0,9.64,0.43,4.0,686,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
22.0,16890.0,0,4750.0,11.01,0.28,3.0,645,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
25.0,51747.0,3,25000.0,16.35,0.48,3.0,697,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
25.0,270972.0,1,25000.0,18.67,0.09,2.0,640,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
22.0,60501.0,0,25000.0,11.83,0.41,3.0,687,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
23.0,60754.0,1,25000.0,7.9,0.41,3.0,650,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
24.0,53825.0,2,25000.0,15.33,0.46,2.0,652,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
23.0,60801.0,0,25000.0,11.83,0.41,4.0,658,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
22.0,63236.0,0,25000.0,11.11,0.4,4.0,635,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
23.0,17149.0,0,4950.0,7.9,0.29,4.0,531,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
24.0,265066.0,4,25000.0,11.58,0.09,2.0,665,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
26.0,260444.0,4,20000.0,14.22,0.08,2.0,594,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
23.0,63497.0,0,25000.0,13.22,0.39,2.0,695,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
26.0,56325.0,2,25000.0,11.86,0.44,4.0,690,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
22.0,64842.0,0,25000.0,13.43,0.39,4.0,574,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
26.0,57856.0,0,25000.0,15.28,0.43,2.0,602,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
23.0,57318.0,0,25000.0,17.93,0.44,2.0,679,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
21.0,16664.0,0,4500.0,12.98,0.27,4.0,601,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
26.0,253061.0,3,22000.0,11.83,0.09,4.0,588,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
26.0,58602.0,8,25000.0,18.43,0.43,2.0,595,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
22.0,67012.0,2,25000.0,11.01,0.37,4.0,653,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
24.0,66643.0,3,25000.0,11.01,0.38,4.0,663,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
23.0,66599.0,0,25000.0,11.36,0.38,3.0,653,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
23.0,67212.0,2,25000.0,15.65,0.37,3.0,598,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
24.0,66918.0,1,25000.0,13.22,0.37,4.0,630,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
26.0,68066.0,2,25000.0,12.87,0.37,2.0,637,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
23.0,229083.0,0,22000.0,17.58,0.1,3.0,639,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
23.0,17859.0,0,7750.0,17.04,0.43,4.0,626,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
26.0,65880.0,2,25000.0,14.83,0.38,2.0,592,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
25.0,65742.0,3,25000.0,16.82,0.38,4.0,672,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
23.0,72713.0,0,25000.0,12.73,0.34,3.0,613,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
23.0,72627.0,3,25000.0,10.25,0.34,4.0,566,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
21.0,72843.0,0,25000.0,10.99,0.34,4.0,718,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
25.0,75504.0,4,25000.0,12.73,0.33,2.0,484,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
22.0,68824.0,0,25000.0,14.96,0.36,3.0,634,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
23.0,241167.0,2,28000.0,11.01,0.12,2.0,653,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
24.0,240855.0,0,24000.0,7.49,0.1,4.0,656,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
24.0,80145.0,1,25000.0,9.91,0.31,2.0,636,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
22.0,241048.0,0,9000.0,6.17,0.04,4.0,587,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
24.0,240920.0,5,20000.0,11.01,0.08,3.0,615,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
24.0,72919.0,1,25000.0,11.01,0.34,2.0,553,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
23.0,80868.0,1,25000.0,7.9,0.31,4.0,621,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
24.0,81537.0,1,25000.0,10.99,0.31,3.0,674,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
24.0,82741.0,0,25000.0,14.09,0.3,3.0,688,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
25.0,240717.0,1,12000.0,11.48,0.05,3.0,640,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
26.0,226744.0,0,20000.0,17.74,0.09,2.0,621,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
25.0,85284.0,3,25000.0,15.21,0.29,3.0,653,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
22.0,18152.0,0,4000.0,10.99,0.22,3.0,585,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
24.0,84871.0,3,25000.0,11.86,0.29,4.0,569,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
24.0,18294.0,2,6000.0,7.49,0.33,3.0,587,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
24.0,68029.0,1,25000.0,16.49,0.37,4.0,631,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
25.0,80001.0,4,25000.0,15.33,0.31,2.0,592,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
26.0,79875.0,6,25000.0,11.58,0.31,4.0,679,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
25.0,18449.0,1,5375.0,5.79,0.29,2.0,645,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
25.0,88153.0,0,25000.0,13.11,0.28,2.0,669,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
25.0,90938.0,1,25000.0,10.36,0.27,2.0,577,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
26.0,229626.0,0,15000.0,11.01,0.07,3.0,626,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
22.0,228907.0,0,10000.0,11.01,0.04,3.0,560,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
24.0,90938.0,0,25000.0,10.25,0.27,4.0,648,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
22.0,86284.0,0,25000.0,15.95,0.29,4.0,648,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
26.0,228774.0,3,20000.0,12.18,0.09,4.0,669,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
23.0,94780.0,0,25000.0,10.62,0.26,3.0,667,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
23.0,95298.0,0,25000.0,10.74,0.26,3.0,676,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
25.0,222973.0,2,15000.0,15.27,0.07,2.0,652,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
24.0,75240.0,1,25000.0,15.33,0.33,2.0,625,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
23.0,96143.0,1,25000.0,15.21,0.26,2.0,642,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
21.0,18064.0,0,6250.0,14.72,0.35,2.0,580,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
24.0,96627.0,2,25000.0,15.7,0.26,2.0,622,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
24.0,96309.0,3,25000.0,13.35,0.26,4.0,581,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
24.0,96836.0,1,25000.0,6.62,0.26,2.0,583,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
26.0,96947.0,4,25000.0,13.61,0.26,4.0,645,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
24.0,207712.0,0,20000.0,13.47,0.1,4.0,582,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
24.0,220872.0,1,20000.0,11.49,0.09,3.0,504,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
26.0,90006.0,4,25000.0,11.01,0.28,4.0,595,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
25.0,98704.0,6,25000.0,7.29,0.25,3.0,597,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
23.0,98967.0,5,25000.0,11.36,0.25,3.0,566,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
23.0,18512.0,1,4000.0,16.7,0.22,2.0,566,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
24.0,103400.0,4,25000.0,10.62,0.24,4.0,592,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
25.0,172215.0,5,10000.0,18.25,0.06,4.0,628,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
23.0,18831.0,0,6000.0,11.01,0.32,4.0,667,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
24.0,91184.0,1,25000.0,14.7,0.27,3.0,668,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
23.0,91886.0,1,25000.0,16.02,0.27,4.0,544,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
23.0,80452.0,2,25000.0,15.37,0.31,2.0,699,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
21.0,18916.0,0,6200.0,7.9,0.33,2.0,615,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
25.0,216874.0,1,20000.0,14.26,0.09,4.0,657,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
23.0,19000.0,2,4475.0,11.01,0.24,4.0,647,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
23.0,94363.0,0,25000.0,16.32,0.26,3.0,576,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
23.0,109167.0,0,25000.0,11.36,0.23,3.0,678,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
23.0,85787.0,0,25000.0,19.04,0.29,4.0,646,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
25.0,102114.0,7,25000.0,15.95,0.24,3.0,637,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
23.0,210937.0,0,21000.0,11.99,0.1,3.0,620,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
23.0,18926.0,0,4600.0,10.99,0.24,2.0,688,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
25.0,106668.0,1,25000.0,14.96,0.23,4.0,562,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
26.0,106419.0,5,25000.0,15.65,0.23,3.0,649,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
25.0,120696.0,3,25000.0,9.33,0.21,4.0,545,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
23.0,19065.0,3,3600.0,13.47,0.19,4.0,540,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
24.0,111673.0,4,25000.0,16.77,0.22,4.0,600,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
23.0,112633.0,1,25000.0,14.59,0.22,2.0,633,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
23.0,210720.0,2,7200.0,8.38,0.03,3.0,624,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
25.0,195268.0,1,25000.0,16.0,0.13,3.0,662,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
26.0,209393.0,2,10000.0,11.71,0.05,4.0,585,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
21.0,18773.0,0,3175.0,11.54,0.17,3.0,686,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
25.0,116439.0,2,25000.0,15.68,0.21,4.0,595,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
24.0,118417.0,0,25000.0,12.61,0.21,2.0,625,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
25.0,192351.0,1,30000.0,17.27,0.16,4.0,577,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
24.0,206648.0,4,18000.0,8.9,0.09,4.0,537,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
25.0,205046.0,6,10000.0,11.11,0.05,4.0,646,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
24.0,190735.0,1,25000.0,14.59,0.13,2.0,653,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
24.0,100758.0,0,25000.0,11.01,0.25,2.0,635,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
24.0,133231.0,3,25000.0,15.7,0.19,2.0,675,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
22.0,18923.0,0,2500.0,12.53,0.13,3.0,618,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
25.0,161894.0,0,5000.0,16.49,0.03,2.0,609,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
22.0,121617.0,2,25000.0,14.96,0.21,2.0,629,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
23.0,145002.0,1,25000.0,9.99,0.17,2.0,670,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
24.0,110953.0,0,25000.0,15.33,0.23,2.0,662,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
21.0,19414.0,2,1000.0,7.29,0.05,4.0,681,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
26.0,130096.0,1,25000.0,15.05,0.19,3.0,636,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
26.0,203368.0,3,24250.0,12.87,0.12,3.0,606,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
25.0,202525.0,1,35000.0,10.65,0.17,2.0,589,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1
24.0,19677.0,3,3300.0,6.39,0.17,4.0,637,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
25.0,19423.0,3,3200.0,18.09,0.16,2.0,586,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
25.0,174972.0,3,25000.0,9.99,0.14,4.0,712,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
22.0,184800.0,1,24000.0,15.62,0.13,2.0,670,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
23.0,20044.0,3,6000.0,7.9,0.3,2.0,618,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
23.0,20421.0,0,5600.0,12.84,0.27,4.0,587,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
22.0,20297.0,0,5500.0,7.14,0.27,3.0,687,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
25.0,270992.0,2,25000.0,11.86,0.09,4.0,652,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
25.0,20221.0,5,5000.0,8.94,0.25,4.0,572,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
23.0,20678.0,0,4375.0,9.63,0.21,4.0,528,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
25.0,60742.0,3,24750.0,14.22,0.41,3.0,638,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
23.0,72805.0,2,24750.0,9.33,0.34,3.0,655,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
24.0,193174.0,0,12000.0,16.77,0.06,4.0,547,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
26.0,192954.0,5,25000.0,12.23,0.13,4.0,694,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
23.0,75928.0,4,24250.0,10.62,0.32,4.0,528,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
24.0,21627.0,0,3900.0,11.01,0.18,3.0,636,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
25.0,83235.0,3,24250.0,17.56,0.29,4.0,603,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
22.0,89977.0,3,24250.0,15.65,0.27,2.0,692,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
24.0,79510.0,2,24250.0,15.7,0.3,2.0,604,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
26.0,94635.0,2,24250.0,17.56,0.26,3.0,643,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
